t; x; y; theta
49537161.170000; 0.00; 0.00; 0.00
49553918.380000; 0.00; 0.00; 0.00
49569996.609001; 0.00; 0.00; 0.00
49588108.896001; 0.00; 0.00; 0.00
49603263.554001; 0.00; 0.00; 0.00
49618690.196000; 0.00; 0.00; 0.00
49633928.579000; 0.00; 0.00; 0.00
49652442.811001; 0.00; 0.00; 0.00
49667306.101001; 0.00; 0.00; 0.00
49682159.865001; 0.00; 0.00; 0.00
49700208.130001; 0.00; 0.00; 0.00
49713114.576000; 0.00; 0.00; 0.00
49729393.683001; 0.00; 0.00; 0.00
49747488.625000; 0.00; 0.00; 0.00
49763478.809000; 0.00; 0.00; 0.00
49778144.741000; 0.00; 0.00; 0.00
49804399.822001; 0.00; 0.00; 0.00
49814407.109000; 0.00; 0.00; 0.00
49824940.332001; 0.00; 0.00; 0.00
49841715.811001; 0.00; 0.00; 0.00
49858574.319001; 0.00; 0.00; 0.00
49877572.957000; 0.00; 0.00; 0.00
49891004.586999; 0.00; 0.00; 0.00
49904888.066000; 0.00; 0.00; 0.00
49923112.164001; 0.00; 0.00; 0.00
49937863.040002; 0.00; 0.00; 0.00
49953834.056001; 0.00; 0.00; 0.00
49973364.175000; 0.00; 0.00; 0.00
49997826.618001; 0.00; 0.00; 0.00
50007603.352000; 0.00; 0.00; 0.00
50020334.365000; 0.00; 0.00; 0.00
50034074.533001; 0.00; 0.00; 0.00
50051899.983001; 0.00; 0.00; 0.00
50065872.671000; 0.00; 0.00; 0.00
50080830.229001; 0.00; 0.00; 0.00
50099162.385000; 0.00; 0.00; 0.00
50113643.767000; 0.00; 0.00; 0.00
50129581.164001; 0.00; 0.00; 0.00
50145441.434001; 0.00; 0.00; 0.00
50164601.039001; 0.00; 0.00; 0.00
50177655.055000; 0.00; 0.00; 0.00
50194625.888000; 0.00; 0.00; 0.00
50210718.427000; 0.00; 0.00; 0.00
50228374.506001; 0.00; 0.00; 0.00
50242589.655001; 0.00; 0.00; 0.00
50256990.696000; 0.00; 0.00; 0.00
50280802.612000; 0.00; 0.00; 0.00
50299335.694001; 0.00; 0.00; 0.00
50309287.188000; 0.00; 0.00; 0.00
50321995.657001; 0.00; 0.00; 0.00
50340507.821000; 0.00; 0.00; 0.00
50353224.171000; 0.00; 0.00; 0.00
50370786.646001; 0.00; 0.00; 0.00
50385538.239000; 0.00; 0.00; 0.00
50402064.197001; 0.00; 0.00; 0.00
50427799.538000; 0.00; 0.00; 0.00
50441742.012000; 0.00; 0.00; 0.00
50457671.382001; 0.00; 0.00; 0.00
50470425.077001; 0.00; 0.00; 0.00
50483161.111000; 0.00; 0.00; 0.00
50501228.911000; 0.00; 0.00; 0.00
50519352.937000; 0.00; 0.00; 0.00
50533064.944000; 0.00; 0.00; 0.00
50545274.108000; 0.00; 0.00; 0.00
50563444.304001; 0.00; 0.00; 0.00
50577029.524000; 0.00; 0.00; 0.00
50598326.331000; 0.00; 0.00; 0.00
50614076.371000; 0.00; 0.00; 0.00
50625754.720000; 0.00; 0.00; 0.00
50640861.647000; 0.00; 0.00; 0.00
50657097.855000; 0.00; 0.00; 0.00
50676186.631000; 0.00; 0.00; 0.00
50696016.746000; 0.00; 0.00; 0.00
50708163.396001; 0.00; 0.00; 0.00
50722747.604000; 0.00; 0.00; 0.00
50739230.277000; 0.00; 0.00; 0.00
50753182.589001; 0.00; 0.00; 0.00
50769982.449000; 0.00; 0.00; 0.00
50789376.910000; 0.00; 0.00; 0.00
50806196.208000; 0.00; 0.00; 0.00
50824352.264000; 0.00; 0.00; 0.00
50835666.565001; 0.00; 0.00; 0.00
50849301.060000; 0.00; 0.00; 0.00
50866264.857000; 0.00; 0.00; 0.00
50881884.987000; 0.00; 0.00; 0.00
50896896.503000; 0.00; 0.00; 0.00
50914821.361001; 0.00; 0.00; 0.00
50931823.933001; 0.00; 0.00; 0.00
50945584.066000; 0.00; 0.00; 0.00
50970689.939000; 0.00; 0.00; 0.00
50983493.366000; 0.00; 0.00; 0.00
50992850.921000; 0.00; 0.00; 0.00
51009102.727000; 0.00; 0.00; 0.00
51025792.367001; 0.00; 0.00; 0.00
51041726.188001; 0.00; 0.00; 0.00
51057448.349000; 0.00; 0.00; 0.00
51073871.646001; 0.00; 0.00; 0.00
51089077.797000; 0.00; 0.00; 0.00
51105347.292001; 0.00; 0.00; 0.00
51121223.572001; 0.00; 0.00; 0.00
51138050.850000; 0.00; 0.00; 0.00
51153663.921000; 0.00; 0.00; 0.00
51169738.045001; 0.00; 0.00; 0.00
51185242.735001; 0.00; 0.00; 0.00
51201375.137001; 0.00; 0.00; 0.00
51217363.446001; 0.00; 0.00; 0.00
51234925.966001; 0.00; 0.00; 0.00
51249540.825001; 0.00; 0.00; 0.00
51265122.217000; 0.00; 0.00; 0.00
51280949.987000; 0.00; 0.00; 0.00
51298652.843000; 0.00; 0.00; 0.00
51313106.354001; 0.00; 0.00; 0.00
51330618.823000; 0.00; 0.00; 0.00
51345267.895000; 0.00; 0.00; 0.00
51362856.292001; 0.00; 0.00; 0.00
51377796.336000; 0.00; 0.00; 0.00
51394199.822000; 0.00; 0.00; 0.00
51423991.221001; 0.00; 0.00; 0.00
51437867.165000; 0.00; 0.00; 0.00
51455271.166000; 0.00; 0.00; 0.00
51470562.954000; 0.00; 0.00; 0.00
51482651.919001; 0.00; 0.00; 0.00
51499660.584001; 0.00; 0.00; 0.00
51517790.268000; 0.00; 0.00; 0.00
51528758.441000; 0.00; 0.00; 0.00
51541978.736001; 0.00; 0.00; 0.00
51557682.481002; 0.00; 0.00; 0.00
51569199.827001; 0.00; 0.00; 0.00
51585472.136001; 0.00; 0.00; 0.00
51600888.575000; 0.00; 0.00; 0.00
51617528.276001; 0.00; 0.00; 0.00
51634224.451001; 0.00; 0.00; 0.00
51649170.063001; 0.00; 0.00; 0.00
51668394.033001; 0.00; 0.00; 0.00
51685488.170000; 0.00; 0.00; 0.00
51700497.897000; 0.00; 0.00; 0.00
51713212.205000; 0.00; 0.00; 0.00
51729665.416000; 0.00; 0.00; 0.00
51752278.201000; 0.00; 0.00; 0.00
51773474.313001; 0.00; 0.00; 0.00
51791327.687000; 0.00; 0.00; 0.00
51800815.609000; 0.00; 0.00; 0.00
51818841.148001; 0.00; 0.00; 0.00
51833249.047000; 0.00; 0.00; 0.00
51841184.087001; 0.00; 0.00; 0.00
51858091.430000; 0.00; 0.00; 0.00
51874573.678000; 0.00; 0.00; 0.00
51908065.630000; 0.00; 0.00; 0.00
51925773.714001; 0.00; 0.00; 0.00
51941089.419001; 0.00; 0.00; 0.00
51956940.161001; 0.00; 0.00; 0.00
51984286.832001; 0.00; 0.00; 1.34
51998569.951000; 0.00; 0.00; 2.76
52010358.024000; 0.00; 0.00; 3.82
52023869.659000; 0.00; 0.00; 5.02
52038260.126000; 0.00; 0.00; 6.33
52051774.261001; 0.00; 0.00; 7.52
52069270.056001; 0.00; 0.00; 9.05
52086540.176001; 0.00; 0.00; 10.64
52100906.693000; 0.00; 0.00; 11.97
52117318.077001; 0.00; 0.00; 13.44
52135044.184001; 0.00; 0.00; 15.03
52147558.368001; 0.00; 0.00; 16.11
52165094.260000; 0.00; 0.00; 17.74
52179629.226001; 0.00; 0.00; 19.03
52195827.488001; 0.00; 0.00; 20.50
52214440.758000; 0.00; 0.00; 22.18
52232398.722001; 0.00; 0.00; 23.65
52244847.492001; 0.00; 0.00; 24.86
52259613.596001; 0.00; 0.00; 26.11
52276568.659000; 0.00; 0.00; 27.76
52293005.192000; 0.00; 0.00; 29.22
52312655.049001; 0.00; 0.00; 31.02
52326093.811001; 0.00; 0.00; 32.16
52339962.355000; 0.00; 0.00; 33.44
52356679.873000; 0.00; 0.00; 34.98
52371847.977000; 0.00; 0.00; 36.27
52387976.323002; 0.00; 0.00; 37.68
52405637.855000; 0.00; 0.00; 39.27
52430285.165000; 0.00; 0.00; 41.60
52441798.579000; 0.00; 0.00; 42.54
52457143.049001; 0.00; 0.00; 43.99
52469835.982000; 0.00; 0.00; 45.11
52487672.657001; 0.00; 0.00; 46.72
52499561.412000; 0.00; 0.00; 47.76
52515710.748000; 0.00; 0.00; 49.19
52533066.350000; 0.00; 0.00; 50.85
52550276.856000; 0.00; 0.00; 52.40
52565137.797000; 0.00; 0.00; 53.74
52580259.664001; 0.00; 0.00; 54.99
52597940.303000; 0.00; 0.00; 56.68
52614552.154000; 0.00; 0.00; 58.14
52627909.991000; 0.00; 0.00; 59.28
52645817.247001; 0.00; 0.00; 61.00
52663921.849000; 0.00; 0.00; 62.48
52676188.083000; 0.00; 0.00; 63.72
52691861.808000; 0.00; 0.00; 65.13
52708681.910001; 0.00; 0.00; 66.58
52726185.748000; 0.00; 0.00; 68.20
52741120.629000; 0.00; 0.00; 69.42
52755553.156000; 0.00; 0.00; 70.76
52773096.415002; 0.00; 0.00; 72.45
52794048.971000; 0.00; 0.00; 74.32
52803573.341001; 0.00; 0.00; 75.14
52820595.004001; 0.00; 0.00; 76.72
52837112.072001; 0.00; 0.00; 78.20
52852475.292001; 0.00; 0.00; 79.59
52870555.287001; 0.00; 0.00; 81.21
52885806.618000; 0.00; 0.00; 82.58
52900032.334001; 0.00; 0.00; 83.84
52915584.062000; 0.00; 0.00; 85.14
52934684.865001; 0.00; 0.00; 86.96
52950720.410000; 0.00; 0.00; 88.43
52972563.736000; 0.00; 0.00; 89.32
52986169.488001; 0.00; 0.00; 89.35
52998678.857000; 0.00; 0.00; 89.37
53012187.275001; 0.00; 0.00; 89.40
53028875.327001; 0.00; 0.00; 89.43
53044594.243001; 0.00; 0.00; 89.46
53060286.864000; 0.00; 0.00; 89.49
53077541.515000; 0.00; 0.00; 89.53
53091952.256000; 0.00; 0.00; 89.56
53109194.830000; 0.00; 0.00; 89.59
53123679.535001; 0.00; 0.00; 89.62
53141583.453000; 0.00; 0.00; 89.65
53157021.773001; 0.00; 0.00; 89.68
53171579.069000; 0.00; 0.00; 89.71
53189319.945001; 0.00; 0.00; 89.75
53207967.119999; 0.00; 0.00; 89.79
53220384.847000; 0.00; 0.00; 89.81
53235774.431001; 0.00; 0.00; 89.84
53254254.298000; 0.00; 0.00; 89.88
53269614.179001; 0.00; 0.00; 89.91
53284207.854000; 0.00; 0.00; 89.94
53299695.331000; 0.00; 0.00; 89.97
53316702.593000; 0.00; 0.00; 90.00
53331737.133000; 0.00; 0.00; 90.03
53347707.785001; 0.00; 0.00; 90.06
53364018.083000; 0.00; 0.00; 90.09
53379939.758000; 0.00; 0.00; 90.13
53396876.625000; 0.00; 0.00; 90.16
53420035.494000; 0.00; 0.00; 90.21
53436417.178000; 0.00; 0.00; 90.24
53456376.165002; 0.00; 0.00; 90.28
53475819.494000; 0.00; 0.00; 90.32
53491207.613001; 0.00; 0.00; 90.35
53500976.516001; 0.00; 0.00; 90.37
53514983.807000; 0.00; 0.00; 90.39
53523668.697001; 0.00; 0.00; 90.41
53541191.344001; 0.00; 0.00; 90.45
53556020.046000; 0.00; 0.00; 90.47
53578046.958000; 0.00; 0.00; 90.52
53589928.215000; 0.00; 0.00; 90.54
53603969.263000; 0.00; 0.00; 90.57
53620699.674001; 0.00; 0.00; 90.60
53635711.577001; 0.00; 0.00; 90.63
53653610.809001; 0.00; 0.00; 90.67
53669407.550000; 0.00; 0.00; 90.70
53683963.127001; 0.00; 0.00; 90.73
53699794.326000; 0.00; 0.00; 90.76
53716454.171000; 0.00; 0.00; 90.79
