t; x; y; theta
4447612.550000; 0.00; 0.00; 0.00
4471105.168999; 0.00; 0.00; 0.00
4487665.948999; 0.00; 0.00; 0.00
4496978.986999; 0.00; 0.00; 0.00
4511318.420001; 0.00; 0.00; 0.00
4525403.194999; 0.00; 0.00; 0.00
4542275.215999; 0.00; 0.00; 0.00
4563587.299999; 0.00; 0.00; 0.00
4574291.368000; 0.00; 0.00; 0.00
4590493.697000; 0.00; 0.00; 0.00
4607951.501999; 0.00; 0.00; 0.00
4623211.508000; 0.00; 0.00; 0.00
4643595.483999; 0.00; 0.00; 0.00
4663117.101999; 0.00; 0.00; 0.00
4682064.000000; 0.00; 0.00; 0.00
4693379.367000; 0.00; 0.00; 0.00
4703143.721999; 0.00; 0.00; 0.00
4718027.297000; 0.00; 0.00; 0.00
4736417.052000; 0.00; 0.00; 0.00
4748040.901999; 0.00; 0.00; 0.00
4765496.101999; 0.00; 0.00; 0.00
4781825.554000; 0.00; 0.00; 0.00
4797201.585999; 0.00; 0.00; 0.00
4812121.105000; 0.00; 0.00; 0.00
4828173.678999; 0.00; 0.00; 0.00
4844070.375000; 0.00; 0.00; 0.00
4860226.507000; 0.00; 0.00; 0.00
4877988.784999; 0.00; 0.00; 0.00
4892080.110999; 0.00; 0.00; 0.00
4910068.146998; 0.00; 0.00; 0.00
4941529.706999; 0.00; 0.00; 0.00
4960068.299000; 0.00; 0.00; 0.00
4974355.630000; 0.00; 0.00; 0.00
4991176.846999; 0.00; 0.00; 0.00
5007304.074999; 0.00; 0.00; 0.00
5023464.866000; 0.00; 0.00; 0.00
5037640.275001; 0.00; 0.00; 0.00
5056307.176001; 0.00; 0.00; 0.00
5072464.886000; 0.00; 0.00; 0.00
5088370.655999; 0.00; 0.00; 0.00
5105418.216998; 0.00; 0.00; 0.00
5119371.581999; 0.00; 0.00; 0.00
5133348.429999; 0.00; 0.00; 0.00
5152142.193999; 0.00; 0.00; 0.00
5168217.922000; 0.00; 0.00; 0.00
5182909.687000; 0.00; 0.00; 0.00
5197680.453999; 0.00; 0.00; 0.00
5214039.648999; 0.00; 0.00; 0.00
5229629.589999; 0.00; 0.00; 0.00
5245977.218999; 0.00; 0.00; 0.00
5263051.733000; 0.00; 0.00; 0.00
5279314.129000; 0.00; 0.00; 0.00
5293613.063999; 0.00; 0.00; 0.00
5356831.073999; 0.00; 0.00; 0.00
5373066.870999; 0.00; 0.00; 0.00
5390135.571000; 0.00; 0.00; 0.00
5404101.423999; 0.00; 0.00; 0.00
5421268.980999; 0.00; 0.00; 0.00
5436116.745000; 0.00; 0.00; 0.00
5456336.410999; 0.00; 0.00; 0.00
5472797.778000; 0.00; 0.00; 0.00
5511623.433000; 0.00; 0.00; 0.00
5529142.379999; 0.00; 0.00; 0.00
5548168.792000; 0.00; 0.00; 0.00
5562843.903999; 0.00; 0.00; 0.00
5577524.196000; 0.00; 0.00; 0.00
5593552.460000; 0.00; 0.00; 0.00
5607643.515000; 0.00; 0.00; 0.00
