t; x; y; theta
65814414.271000; -0.40; 0.00; -30.11
65828701.361000; -0.40; 0.00; -30.11
65845492.127000; -0.40; 0.00; -30.11
65860110.180000; -0.40; 0.00; -30.11
65875615.832000; -0.40; 0.00; -30.11
65891629.732000; -0.40; 0.00; -30.11
65908516.969000; -0.40; 0.00; -30.11
65925114.080000; -0.40; 0.00; -30.11
65938555.577000; -0.40; 0.00; -30.11
65955839.007000; -0.40; 0.00; -30.11
65971783.368000; -0.40; 0.00; -30.11
65987908.828000; -0.40; 0.00; -30.11
66004325.855000; -0.40; 0.00; -30.11
66018566.521000; -0.40; 0.00; -30.11
66034578.428000; -0.40; 0.00; -30.11
66050547.051000; -0.40; 0.00; -30.11
66068231.254000; -0.40; 0.00; -30.11
66087098.811000; -0.40; 0.00; -30.11
66099853.684000; -0.40; 0.00; -30.11
66116458.099000; -0.40; 0.00; -30.11
66131419.813000; -0.40; 0.00; -30.11
66147222.037000; -0.40; 0.00; -30.11
66164777.325000; -0.40; 0.00; -30.11
66178806.047000; -0.40; 0.00; -30.11
66194575.566000; -0.40; 0.00; -30.11
66210636.411000; -0.40; 0.00; -30.11
66227342.071000; -0.40; 0.00; -30.11
66244228.966000; -0.40; 0.00; -30.11
66269012.125000; -0.40; 0.00; -30.11
66282152.232000; -0.40; 0.00; -30.11
66291458.669000; -0.40; 0.00; -30.11
66306832.025000; -0.40; 0.00; -30.11
66324701.318000; -0.40; 0.00; -30.11
66338733.604000; -0.40; 0.00; -30.11
66355827.353000; -0.40; 0.00; -30.11
66371512.658000; -0.40; 0.00; -30.11
66387811.169000; -0.40; 0.00; -30.11
66402562.950000; -0.40; 0.00; -30.11
66420038.758000; -0.40; 0.00; -30.11
66434727.335000; -0.40; 0.00; -30.11
66450773.147000; -0.40; 0.00; -30.11
66468610.114000; -0.40; 0.00; -30.11
66484105.207000; -0.40; 0.00; -30.11
66499116.262000; -0.40; 0.00; -30.11
66516378.971000; -0.40; 0.00; -30.11
66530972.908000; -0.40; 0.00; -30.11
66548109.179000; -0.40; 0.00; -30.11
66563766.716000; -0.40; 0.00; -30.11
66578638.339000; -0.40; 0.00; -30.11
66594614.080000; -0.40; 0.00; -30.11
66611758.369000; -0.40; 0.00; -30.11
66628204.003000; -0.40; 0.00; -30.11
